5, 0.178, 23479.5, 0.492, 1258.1
10, 0.292, 29900.6, 0.639, 1566.1
15, 0.331, 40221.5, 0.621, 2119.0
20, 0.483, 37353.3, 0.795, 1968.7
25, 0.466, 48684.8, 0.713, 2560.2
30, 0.678, 40588.7, 0.96, 2129.2
35, 0.773, 41745.5, 1.037, 2195.2
40, 0.672, 54841.0, 0.874, 2882.4
45, 0.735, 56617.3, 0.92, 2970.4
50, 0.799, 57968.6, 0.972, 3054.3
100, 2.383, 39472.8, 2.652, 2080.9
200, 2.397, 79142.8, 2.252, 4169.0
300, 3.457, 82071.1, 3.561, 4315.4
400, 5.795, 65480.1, 5.796, 3432.2
500, 11.899, 39841.9, 12.175, 2093.5
600, 9.037, 63181.4, 8.554, 3324.3
700, 10.912, 61127.1, 10.062, 3216.6
800, 9.374, 81331.7, 8.614, 4264.9
900, 13.42, 63893.3, 12.444, 3361.3
1000, 10.898, 87467.1, 9.952, 4589.4
1100, 12.629, 83065.5, 11.473, 4365.5
1200, 13.853, 82610.1, 12.524, 4367.2
1300, 14.819, 83674.7, 13.409, 4400.4
1400, 33.575, 39570.4, 33.988, 2085.5
1500, 34.998, 40709.6, 35.282, 2139.1
1600, 17.906, 85159.0, 16.506, 4496.4
1700, 20.948, 77312.4, 19.626, 4054.4
