# Running with 1 servers, 0.5 reads
threads, write throughput, write avglatency, read throughput, read avglatency
# Running with 2 servers, 0.5 reads
threads, write throughput, write avglatency, read throughput, read avglatency
threads, write throughput, write avglatency, read throughput, read avglatency
50, 0.0, 0.0, 979790.8999999999, 199.5
100, 0.0, 0.0, 937079.0000000001, 421.25
150, 0.0, 0.0, 969395.0, 613.5
200, 0.0, 0.0, 957888.3, 830.5
250, 0.0, 0.0, 955639.1, 1042.0
400, 0.0, 0.0, 1006571.5, 1586.0
600, 0.0, 0.0, 985215.9, 2431.75
800, 0.0, 0.0, 979460.8, 3263.25
1500, 0.0, 0.0, 979650.9, 6122.0
2000, 0.0, 0.0, 962311.7999999999, 8311.75
2500, 0.0, 0.0, 929509.2, 10754.75
3000, 0.0, 0.0, 910515.2000000001, 13182.0
# Highest throughput 1006571.5 at 400 threads
# Running with 3 servers, 1.0 reads
threads, write throughput, write avglatency, read throughput, read avglatency
50, 0.0, 0.0, 1114074.1, 174.75
100, 0.0, 0.0, 1208158.9, 325.5
150, 0.0, 0.0, 1235231.7, 480.0
200, 0.0, 0.0, 1276909.9000000001, 620.75
# Running with 3 servers, 1.0 reads
threads, write throughput, write avglatency, read throughput, read avglatency
# Running with 3 servers, 0.95 reads
threads, write throughput, write avglatency, read throughput, read avglatency
