0.5,8942
1.0,8998
1.5,8778
2.0,8690
2.5,8774
3.0,7710
3.5,8286
4.0,8406
4.5,8024
5.0,8412
5.5,8266
6.0,8250
6.5,8286
7.0,8140
7.5,8086
8.0,7778
8.5,8346
9.0,8296
9.5,8440
10.0,8208
10.5,8294
11.0,8488
11.5,8322
12.0,8204
12.5,7802
13.0,8242
13.5,8160
14.0,8440
14.5,8420
15.0,8176
15.5,8318
16.0,7204
16.5,7986
17.0,8242
17.5,8412
18.0,8308
18.5,8216
19.0,8320
19.5,8582
20.0,8414
20.5,8332
21.0,8362
21.5,8322
22.0,8426
22.5,8338
23.0,8208
23.5,8430
24.0,8512
24.5,8392
25.0,7976
25.5,8188
26.0,8210
26.5,8266
27.0,8170
27.5,5314
28.0,0
28.5,382
29.0,7978
29.5,8546
30.0,8714
30.5,8398
31.0,8110
31.5,8426
32.0,7570
32.5,8036
33.0,8092
33.5,7860
34.0,8484
34.5,8666
35.0,8266
35.5,8228
36.0,8198
36.5,8204
37.0,8202
37.5,8466
38.0,8016
38.5,8478
39.0,8402
39.5,7924
40.0,8454
40.5,8716
41.0,8516
41.5,8474
42.0,9280
42.5,9724
43.0,5976
43.5,7826
44.0,8426
44.5,8710
45.0,9102
45.5,8438
46.0,8338
46.5,7792
47.0,6996
47.5,6492
48.0,7800
48.5,9044
49.0,9436
49.5,7652
50.0,7322
50.5,7468
51.0,7134
51.5,7560
52.0,7674
52.5,6646
53.0,6872
53.5,6794
54.0,6682
54.5,6762
55.0,6730
55.5,6850
56.0,6648
56.5,6648
57.0,6988
57.5,6964
58.0,7432
58.5,7250
59.0,6730
59.5,6766
60.0,6758
60.5,6652
61.0,6324
61.5,6284
62.0,6204
62.5,7336
63.0,7224
63.5,6970
64.0,7212
64.5,6754
65.0,6682
65.5,6656
66.0,6976
66.5,6912
67.0,6250
67.5,6724
68.0,7004
68.5,7228
69.0,7198
69.5,7018
70.0,7022
