0.5,1150
1.0,1200
1.5,1202
2.0,1176
2.5,1164
3.0,1210
3.5,1226
4.0,1192
4.5,1246
5.0,1218
5.5,1186
6.0,1212
6.5,1252
7.0,1252
7.5,1232
8.0,1200
8.5,1280
9.0,1186
9.5,1182
10.0,1190
10.5,1222
11.0,1194
11.5,1168
12.0,1242
12.5,1162
13.0,1230
13.5,1184
14.0,1318
14.5,1250
15.0,1344
15.5,1302
16.0,1336
16.5,1258
17.0,1172
17.5,1176
18.0,1250
18.5,1170
19.0,1176
19.5,1180
20.0,1186
20.5,1148
21.0,1172
21.5,1156
22.0,1240
22.5,1252
23.0,1240
23.5,1250
24.0,1200
24.5,1250
25.0,1170
25.5,1150
26.0,1198
26.5,1172
27.0,1144
27.5,968
28.0,624
28.5,1046
29.0,1094
29.5,1160
30.0,1162
30.5,1056
31.0,1086
31.5,1086
32.0,1098
32.5,1076
33.0,1070
33.5,1138
34.0,1054
34.5,1076
35.0,1124
35.5,1180
36.0,1212
36.5,1210
37.0,1124
37.5,1134
38.0,1146
38.5,1210
39.0,1134
39.5,1102
40.0,1186
40.5,1232
41.0,1090
41.5,1106
42.0,1118
42.5,1042
43.0,1078
43.5,1058
44.0,1102
44.5,1190
45.0,1208
45.5,1182
46.0,1130
46.5,1080
47.0,1104
47.5,1152
48.0,1084
48.5,1116
49.0,1048
49.5,1100
50.0,1102
50.5,1080
51.0,1060
51.5,1132
52.0,1166
52.5,1154
53.0,1124
53.5,1150
54.0,1104
54.5,1070
55.0,1124
55.5,1186
56.0,1124
56.5,1074
57.0,1090
57.5,1084
58.0,1072
58.5,1074
59.0,1088
59.5,1088
60.0,1158
60.5,1202
61.0,1190
61.5,1200
62.0,1240
62.5,1174
63.0,1186
63.5,1168
64.0,1126
64.5,1150
65.0,1166
65.5,1188
66.0,1188
66.5,1074
67.0,1154
67.5,1090
68.0,1132
68.5,1102
69.0,1178
69.5,1176
70.0,1170
